Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x6e48a1433e6a814484467a205799c6741c5c7fa722831fc687200d7bc8f22b8d","Success","Transfer","78282822","2025-10-28 16:54:33","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x8abfc100e5ae3f9aff29ca4e31b51a0571294f5bbb51c3931f88627296fb5496","Success","Transfer","78281020","2025-10-28 15:54:29","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x4785556ab3daf48d210716d686404bc90d2e62cb7580226ea4a2b5fdfb04122f","Success","Transfer","78276188","2025-10-28 13:13:25","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x53a86e4a40a2ce0aef24e36a2e767342c3b6d4cae5e870f9a6a97aeb40fed8ce","Success","Transfer","78271097","2025-10-28 10:23:43","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x5f43046643a8ca5f45b45f8dc7feb50b3ef489b0fd93c52c95ebe2d3b0d9ab6b","Success","Transfer","78267109","2025-10-28 08:10:47","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x6b9fe6abd13166beb2dfe259316656f997898969d92fe247513a633554f5dcbf","Success","Transfer","78264902","2025-10-28 06:57:11","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","9,808.990864","$0.00","ERC-20: UЅD Соіn(UЅDС)"
"0x9fda5fe5b14950541cc7a0fe174e784fb2558157f2b248a0999d744b8f6d8a5d","Success","Transfer","78264067","2025-10-28 06:29:21","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","308,184.838012","$0.00","ERC-20: UЅD Соіn(UЅDС)"
"0x4d9b519144001fe76428d571f2146a96d86b75b932d5c152b924fd38b02181ce","Success","Transfer","78263708","2025-10-28 06:17:23","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0x6c14220f821df51019fcf6343a759340a3e6fe07a1c71a915e0a293af0368b90","Success","Transfer","78263035","2025-10-28 05:54:57","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849bb0b16081e42a13320b09c1fe5a8f82fb0483","","78,623.124179","$0.00","ERC-20: UЅD Соіn(UЅDС)"
"0x0be6dee3147e9fffcb7a38673b18da86285682bcdfbcecf6cfdd4b41deb01679","Success","Transfer","78261187","2025-10-28 04:53:21","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xd9ebbc176fc5e892105f7ab8140224bc24429b5c","","120,178.925516","$0.00","ERC-20: UЅD Соіn(UЅDС)"
"0x29d5727b869f0194d846ef834802639cdcf1d558b5fc00e4378aab632e6f336a","Success","Transfer","78259742","2025-10-28 04:05:11","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0x849be2bcd97f48b22df06dd2c4507404afca0483","","61,590.66112577","$0.00","ERC-20: POL(POL)"
"0xd550554522ccd2b6eb466673c1d5c10e9d62686663c83a22e7acd3d1e9921bc7","Success","Transfer","78258609","2025-10-28 03:27:25","0x966709a1c9412b92ce08afad48c366086a85e1dd","","0xc5fd2ec36389cb1d54f5c63aeca397782a031b5b","","518,620.96566","$0.00","ERC-20: UЅD Соіn(UЅDС)"
