Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,CLOSE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2039280,out,0.4111,9,SOL,1.0
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,TRANSFER,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2398771338,in,2398.77,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,HV1KXxWFaSeriyFvXyx48FqG9BoFbfinB8njCJonqP7K,12000000000,out,2418.8,9,So11111111111111111111111111111111111111112,1.0
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,EoYXtgGpSP1w3sVMqyJg8wmrNNDcPk5AQ2yi3vXhfy4f,12002039280,out,2419.21,9,SOL,1.0
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,CLOSE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2039280,out,0.4111,9,SOL,1.0
JrJwDRn1zvKbgoEg8p2zR2rtTAYvderRnGsj1mKSLN47BXLWd9HwcLkYzRsHus3WiRzVJuA7E1249D7kjkg2ZcW,1761625106,2025-10-28T04:18:26.000Z,CREATE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,EtUNuWRE5SogfEhKNBrzMWVvtpoTFW3bH3sEirxfLrEx,2039280,out,0.4111,9,SOL,1.0
qd1EPPCt4wqA848mESdHPPmMEMmh1YESzrbjf9ddGe8Wja5we8cHSGb5z5fYAkLtZU9f3xrrnvzzwafTHKpEpn1,1761601042,2025-10-27T21:37:22.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,8r8Kvm93srdeqKs8fNTicbtkhDr7Q7P8Y4DacyDdk27e,64000000,out,64,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
qd1EPPCt4wqA848mESdHPPmMEMmh1YESzrbjf9ddGe8Wja5we8cHSGb5z5fYAkLtZU9f3xrrnvzzwafTHKpEpn1,1761601042,2025-10-27T21:37:22.000Z,CREATE ACCOUNT,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,FanHmw4MYWNSSzkSAJvJkSWSj3FEm9RK98MdCnicQUWT,2039280,out,0.4052,9,SOL,1.0
3wEx93i5PKHVeFNUEfSdz4xbkeVoCAViE9gGKBnyTqGdGYAcejT4fwrSiU1211vHDcy3f1TeNg7EXX1LeYDukwSA,1761600595,2025-10-27T21:29:55.000Z,TRANSFER,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,2m4xR7YswLjAuDDgBb1NJRBn5QcmDEhDNrTsdTWytgZk,10000000,out,10,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
5RTPD8bmENy9FHpSxGLpyDQSK6JtyqcLfEkXTjpGNz3RTGwLPCVUHTp3z6Q9NSYt3BiJtSvxQTPUmLWhdgDfjE9n,1761415206,2025-10-25T18:00:06.000Z,TRANSFER,8xYmtDVzZN9fGT4kKFQZzbGSJQR5Lu2FPebJ3b1ZKgfS,2rKXteR775ejj2QrVntTzz8STL6rY9dN2Jji1qxN2vDZ,9000000,in,9,6,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1.0
